domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,5,6.435389707591936,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,6,6.436471387568282,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,7,9.320772470425077,0.0,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,0,2.0001198774692415,0.0,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,1,3.9917084306769492,0.0,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,2,6.003879540624733,0.0,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,3,6.03493310926209,0.0,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,4,8.336459222066496,-0.544321371453267,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,5,8.336459222066496,0.544321371453267,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,6,9.94157724992393,0.0,ok
square,N1curl,grad,2.0,0,64,0.7853981633974483,1.5707963267948966,145.0,7,9.996859414559198,0.0,ok
